src,VPC_Candidate,Prediction
"Joker is a character study that explores how a mentally ill aspiring stand-up comedian, Arthur Fleck, becomes the homicidal clown we're familiar with, and the film deftly walks the tightrope of making him a somewhat sympathetic character without pushing this aspect too far.",stand up,positive
Just fixing up the house like a homeowner would and should with nothing but spare time.,fixing up,positive
"Just in the beginning of the next half, Fernando won any score on the right side by breaking off. It is a pity that he lobbed in small angle.",breaking off,positive
Just put a cap on the versions of iOS that the app supports and only push out updates for devices with the latest compatible versions of iOS.,push out,positive
"Kaczynski also stated that he warned German Chancellor Angela Merkel that it might turn out differently with Donald Tusk, but she didn't pay attention to it.",turn out,positive
"Kari tapped twice on the lantern. No, as Ivory predicted. The Ice King never let Kari out, as she was seen as “a flaw” in his eyes. She was born mute and was the only girl in her family, as it was all made up of boys.",made up,positive
"Kenny next competes in the sprint, which begins on today and plays out over three days.",plays out,positive
Khloe Kardashian breaks down in tears and screams at cheating boyfriend Tristan Thompson in new Keeping Up With The Kardashians series 16 trailer,breaks down,positive
"Kim Mears, Openreach's head of strategic infrastructure development, said the firm had been able to access only 44 per cent of City buildings, adding: ""It's a real tortuous drawn-out process.""",drawn out,positive
"Kimmich confirmed: ""That is what one wants as a player: to take on responsibility.""",take on,positive
"Kinue- Misaki's mysterious demonic familiar and guardian, taking the form of a rope or cord twisted out from a braind of hair.",twisted out,positive
"Kirstene Hair, Tory MP for Angus, said: ""This report confirms what many have long suspected - SNP MPs will happily prop up Jeremy Corbyn in No10.",prop up,positive
"Klimas asked if it should be on pay-per-view, part of a strategy he has to have Lomachenko fight a 135-pound debut bout later this year to set up a date next summer with Garcia (37-0, 30 knockouts), who also has interest in fighting the Jorge Linares-Luke Campbell winner following their Sept. 23 lightweight title bout at the Forum.",set up,positive
